koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_steff,koi_srad,koi_model_snr,koi_teq,koi_insol,koi_slogg
CONFIRMED,-0.05484540084939206,-0.6393239268345892,-0.599333533531524,-0.11625174546326346,-0.02919662036335595,0.1420364458092368,-0.12481313230508746,5.082421687928407,0.2961728398170116,-0.04387217459294596,0.33945717757620164
CONFIRMED,-0.05504460897608111,-0.6600079413520542,-0.2677961224700007,-0.20813482086889204,-0.028202297710724057,0.9201345958759198,0.03644423881584011,7.145346504811063,1.1241492161599849,-0.022593631936995092,-0.6730653965259403
CONFIRMED,-0.05405727967266453,-0.663528775644209,-0.3744546027369722,-0.17808796204548533,-0.028692960196173126,0.650310237385054,-0.045326958483334685,1.8618663025075517,0.5087140252816394,-0.04071122938624211,-0.3263110903265777
CONFIRMED,-0.053917383609672964,-0.47412025345833836,-0.4622634554659985,-0.2877036696737663,-0.033056931838279756,0.15835140702031242,-0.11534660647005325,-0.2630116049405999,0.14085428120824509,-0.045511662478619354,0.22387240884308077
FALSE POSITIVE,-0.048064096281863596,0.06856230846157349,-0.30623403322412845,-0.07061602665944093,0.015473162335110016,0.11066152040332215,-0.14374618397515587,0.4551667167263341,-0.3881630650306363,-0.04817868840390367,0.563691628918458
FALSE POSITIVE,-0.04215816709389318,0.09277721095433868,1.0189575220669291,-0.18084823600457609,-0.031100780737350345,-0.8330962358065902,-0.17116646570422045,-0.05679452255119681,-0.6567590686397814,-0.0485442125420927,0.6492243577809675
FALSE POSITIVE,-0.04229494115392838,0.27046753082123215,-0.12720584014710193,0.61398055438378,-0.017417471292144836,0.5147705596315028,-0.12758780367052852,2.585071244098664,-0.45239254415456226,-0.048303754318860595,0.42961329718803765
FALSE POSITIVE,-0.04435653121742737,0.21642379068953674,0.5897182171632522,-0.16187530446990936,-0.030853824784409095,-0.6963015610368024,-0.1538655736608821,0.054670774267450664,-0.5726768414230055,-0.04846933631375083,0.4781589000559484
CONFIRMED,-0.049748300730503243,0.10417229808616733,-0.36069057318454734,-0.2736323523809916,-0.03263125776149944,-1.0677806778428316,-0.16855501030145245,-0.21701803263437106,-0.5096151710104236,-0.04839244998531925,0.6307307947836681
CONFIRMED,-0.052179064944618714,0.07980086263277102,-0.6242268480100254,-0.26603977502391546,-0.032507779785028806,-1.4681247260223025,-0.1724721934056045,-0.2444131112211412,-0.47574871838144445,-0.04834100398614812,0.7809909941367247
FALSE POSITIVE,-0.05467625300487283,0.0670604696017794,-0.3104063560928325,-0.28445943578704636,-0.03292045618007538,-0.9008660746833658,-0.148479446892673,-0.2660275768951067,-0.022638938379930168,-0.04673732100832277,0.448106860185335
CONFIRMED,-0.05268836484573039,0.08280431948937243,-0.40082213796241567,-0.279193027629856,-0.03260526239803194,-0.654886659500995,-0.13362679428942964,-0.25044505513015486,-0.1943068189475142,-0.04759381209342456,0.30015835620694165
CONFIRMED,-0.053743679723907506,-0.4431487841035958,-0.4671775246224722,-0.2848801647693571,-0.032881463134874125,-0.654886659500995,-0.13362679428942964,-0.2902810180292656,-0.07869375652444739,-0.04706515576982965,0.30015835620694165
CONFIRMED,-0.050620823480696325,-0.4914959863321758,-0.313017921147688,-0.2866542791774247,-0.033011439952211626,-0.654886659500995,-0.13362679428942964,-0.3088795117487243,-0.33327605559746315,-0.04804583335109911,0.30015835620694165
FALSE POSITIVE,0.23296447875832296,0.0023386180719672887,0.18297854965525373,0.013809445137771898,-0.019948769809792686,-0.2055977276882974,-0.024272099298517223,0.922516704176785,-0.92068383740355,-0.048643775312161366,-0.5297402832968693
CONFIRMED,-0.04045508924919933,0.07881406153329344,-0.334729453112611,-0.27887444094382874,-0.03247528558069443,-0.9447909702516463,-0.14701050322861595,-0.28349508113162525,-0.6485844076603726,-0.04853824505745135,0.43886007868668636
CONFIRMED,-0.0529526796290036,0.08184930793575126,-0.5331156789956581,-0.27793205666264137,-0.03253052572806287,-0.46161711900056085,-0.1439093999378289,-0.29116067651599675,-0.1966424363702024,-0.04760662648149649,0.5590682381691315
